prompt_id,trial_id,round,image_idx,image_path,user_score,chosen,prompt,mean_pixel,reused_from_previous
001369-0084,trial0,0,0,outputs/2025-11-14_05-44-18/images/001369-0084/trial0/round0/image0.png,1.335288405418396,True,"greek or roman sculpture in marble of a philosopher holding a skull, in a museum background, hyperrealistic photograph in the style of bernini, golden hour",0.44307222962379456,False
001369-0084,trial0,0,1,outputs/2025-11-14_05-44-18/images/001369-0084/trial0/round0/image1.png,-0.257756769657135,False,"greek or roman sculpture in marble of a philosopher holding a skull, in a museum background, hyperrealistic photograph in the style of bernini, golden hour",0.3192029595375061,False
001369-0084,trial0,0,2,outputs/2025-11-14_05-44-18/images/001369-0084/trial0/round0/image2.png,-0.8392173647880554,False,"greek or roman sculpture in marble of a philosopher holding a skull, in a museum background, hyperrealistic photograph in the style of bernini, golden hour",0.4570392668247223,False
001369-0084,trial0,0,3,outputs/2025-11-14_05-44-18/images/001369-0084/trial0/round0/image3.png,-1.4160219430923462,False,"greek or roman sculpture in marble of a philosopher holding a skull, in a museum background, hyperrealistic photograph in the style of bernini, golden hour",0.5080077648162842,False
001369-0084,trial0,1,0,outputs/2025-11-14_05-44-18/images/001369-0084/trial0/round1/image0.png,1.335288405418396,True,"greek or roman sculpture in marble of a philosopher holding a skull, in a museum background, hyperrealistic photograph in the style of bernini, golden hour",0.44307222962379456,True
001369-0084,trial0,1,1,outputs/2025-11-14_05-44-18/images/001369-0084/trial0/round1/image1.png,-0.2074558138847351,False,"greek or roman sculpture in marble of a philosopher holding a skull, in a museum background, hyperrealistic photograph in the style of bernini, golden hour",0.3868929445743561,False
001369-0084,trial0,1,2,outputs/2025-11-14_05-44-18/images/001369-0084/trial0/round1/image2.png,-0.3733382821083069,False,"greek or roman sculpture in marble of a philosopher holding a skull, in a museum background, hyperrealistic photograph in the style of bernini, golden hour",0.32762834429740906,False
001369-0084,trial0,1,3,outputs/2025-11-14_05-44-18/images/001369-0084/trial0/round1/image3.png,-0.25004440546035767,False,"greek or roman sculpture in marble of a philosopher holding a skull, in a museum background, hyperrealistic photograph in the style of bernini, golden hour",0.31088006496429443,False
001369-0084,trial0,2,0,outputs/2025-11-14_05-44-18/images/001369-0084/trial0/round2/image0.png,1.335288405418396,False,"greek or roman sculpture in marble of a philosopher holding a skull, in a museum background, hyperrealistic photograph in the style of bernini, golden hour",0.44307222962379456,True
001369-0084,trial0,2,1,outputs/2025-11-14_05-44-18/images/001369-0084/trial0/round2/image1.png,0.5943263173103333,False,"greek or roman sculpture in marble of a philosopher holding a skull, in a museum background, hyperrealistic photograph in the style of bernini, golden hour",0.3538497984409332,False
001369-0084,trial0,2,2,outputs/2025-11-14_05-44-18/images/001369-0084/trial0/round2/image2.png,0.0739511176943779,False,"greek or roman sculpture in marble of a philosopher holding a skull, in a museum background, hyperrealistic photograph in the style of bernini, golden hour",0.3933926522731781,False
001369-0084,trial0,2,3,outputs/2025-11-14_05-44-18/images/001369-0084/trial0/round2/image3.png,1.4162651300430298,True,"greek or roman sculpture in marble of a philosopher holding a skull, in a museum background, hyperrealistic photograph in the style of bernini, golden hour",0.4234853684902191,False
